sv,caf,ca1,ca2,ca3,cb,cc1,cc2,cd
1.06,10010,3407.4,3363.1,3759.1,945.4,1717.1,1695.1,1931.9
1.11,10010,3631.6,3345.2,3906.0,1247.2,1694.1,1536.7,1960.6
1.16,10010,3645.3,3784.9,3301.3,971.4,1552.3,1496.2,1898.8
1.21,10002,3536.2,3718.3,3678.5,1225.9,1351.1,1549.7,1757.0
1.26,10002,3755.6,3731.8,3854.7,1263.8,1562.3,1410.1,1952.2
1.30,10007,3598.3,3751.6,3722.5,1153.4,1413.4,1291.6,1903.3
1.35,10007,3939.0,3969.5,3827.2,971.4,1416.9,1276.8,1794.9
1.41,10009,4227.9,3721.3,4046.7,986.3,1188.7,1221.0,1821.5
1.45,10001,4163.1,4142.7,4512.1,972.5,1085.6,1212.1,1908.7
1.50,10002,3896.3,3953.7,4028.0,977.3,1132.9,1167.7,2080.5
1.56,10004,3801.6,4263.3,4015.3,1040.6,1157.7,1236.5,1780.0
1.60,10008,4128.4,4061.1,3914.8,1198.6,1150.0,1032.2,1581.9
1.66,10002,4385.4,4344.7,4006.8,1158.7,970.0,1155.1,1629.8
1.70,10007,3960.8,4259.1,4274.7,1194.9,1091.2,958.6,1835.5
1.76,10007,4180.8,4071.1,4598.7,1244.2,1034.8,1086.8,1739.5
1.80,10001,4212.3,4541.8,4440.0,1240.7,1010.3,920.8,1739.6
1.85,10004,4200.2,4444.9,4667.2,1164.0,931.5,850.7,1783.7
1.90,10009,4748.6,4813.4,4753.2,1037.9,1065.9,898.5,1685.6
1.96,10009,4941.3,4511.8,4405.4,1038.5,996.0,921.9,1855.7
